orgid,gender,age,cont1,cont2,cont3,neg1,neg2,neg3,neg4,neg5,neg6,neg7,neg8,neg9,neg10,neg11,jsat1,jsat2,jsat3,Neur1,Neur2,Neur3,notrain1,notrain2,notrain3,nofeed1,nofeed2,nofeed3
Org C,male,44.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,4.0,3.0,5.0,2.0,3.0,7.0,5.0,4.0,1.0,1.0,1.0
Org C,male,40.0,2.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
Org C,female,22.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,3.0,7.0,7.0,7.0,5.0,5.0
Org C,female,18.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,6.0,5.0,5.0,6.0,2.0,2.0,5.0,5.0,2.0
Org C,male,36.0,3.0,3.0,3.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,7.0,7.0,7.0,1.0,1.0,1.0
Org C,female,21.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,5.0,2.0,3.0,1.0,1.0,4.0,4.0,3.0,4.0,3.0,3.0
Org C,female,22.0,3.0,3.0,3.0,4.0,3.0,4.0,1.0,4.0,4.0,2.0,3.0,4.0,1.0,3.0,5.0,5.0,5.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
Org C,male,37.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,5.0,5.0,7.0,7.0,6.0,7.0,7.0,7.0
Org C,male,31.0,4.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
Org C,male,37.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,4.0,4.0,4.0,1.0,5.0,5.0,4.0,6.0,5.0,5.0,4.0,6.0,2.0,4.0,4.0,4.0
Org C,female,18.0,4.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,5.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0
Org C,female,35.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,5.0,5.0,4.0,4.0,3.0,5.0,3.0,5.0,3.0,5.0,4.0,7.0,1.0,4.0,4.0,3.0
Org C,male,50.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,1.0,1.0
Org C,female,19.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0
Org C,male,37.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0
Org C,female,24.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,3.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,4.0
Org C,male,24.0,3.0,3.0,4.0,4.0,4.0,2.0,5.0,5.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,4.0,3.0,6.0,6.0,6.0,4.0,4.0
Org C,male,55.0,5.0,5.0,5.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0
